#,no,name,laps,lead,lap_time,speed,elapsed_time,passing_time,hits,strength,noice,photocell_time,transponder,backup_tx,backup_passing_time,class,deleted
1,,Warmup Flag,,,,,,9:51:08.313,,,,,,,,,
2,,Green Flag,,,,,0.000,10:02:14.585,,,,,,,,,
53,3.0,Team Häsen Racing Sweden VW Polo,4.0,4.0,1:10.622,109'6,4:54.295,10:07:08.880,85.0,145.0,3.0,,9515691.0,0.0,,R1,No
54,99997.0,clio helvit N/N,4.0,4.0,1:09.684,111'1,4:54.474,10:07:09.059,123.0,169.0,3.0,,641641.0,0.0,,GT Open,No
55,2.0,Team Skeppsbrons BMW M3 E36,4.0,4.0,1:11.018,109'0,4:55.267,10:07:09.852,141.0,163.0,3.0,,4867808.0,0.0,,R1,No
56,86.0,clio 86,4.0,4.0,1:10.077,110'4,4:56.432,10:07:11.017,138.0,167.0,3.0,,7722174.0,0.0,,GT Open,No
57,71.0,Roslagen Racing BMW 323 Compact,4.0,4.0,1:15.473,102'6,5:18.121,10:07:32.706,106.0,152.0,3.0,,7637509.0,0.0,,Standard,No
58,44.0,Tommes Pack Seat Leon,5.0,5.0,1:07.257,115'1,5:47.185,10:08:01.770,150.0,177.0,3.0,,9788538.0,0.0,,R2,No
59,30.0,Team Gävlarna Clio ,5.0,5.0,1:07.559,114'6,5:51.888,10:08:06.473,123.0,162.0,3.0,,3289056.0,0.0,,R1,No
60,27.0,B.E.T BMW 330,5.0,5.0,1:07.551,114'6,5:52.939,10:08:07.524,94.0,154.0,3.0,,7493526.0,0.0,,R1,No
61,4.0,SMK Racing Renault Clio,5.0,5.0,1:07.587,114'5,5:54.217,10:08:08.802,141.0,172.0,3.0,,7622978.0,0.0,,R1,No
62,6.0,SPEeD S60 Racing Team S60 Challange,5.0,5.0,1:09.994,110'6,6:02.432,10:08:17.017,94.0,145.0,3.0,,4800537.0,0.0,,R2,No
63,99997.0,clio helvit N/N,5.0,5.0,1:08.536,112'9,6:03.010,10:08:17.595,129.0,167.0,3.0,,641641.0,0.0,,GT Open,No
64,3.0,Team Häsen Racing Sweden VW Polo,5.0,5.0,1:11.235,108'7,6:05.530,10:08:20.115,99.0,147.0,3.0,,9515691.0,0.0,,R1,No
65,2.0,Team Skeppsbrons BMW M3 E36,5.0,5.0,1:11.983,107'5,6:07.250,10:08:21.835,137.0,160.0,3.0,,4867808.0,0.0,,R1,No
66,86.0,clio 86,5.0,5.0,1:11.599,108'1,6:08.031,10:08:22.616,136.0,164.0,3.0,,7722174.0,0.0,,GT Open,No
67,71.0,Roslagen Racing BMW 323 Compact,5.0,5.0,1:19.523,97'3,6:37.644,10:08:52.229,105.0,152.0,4.0,,7637509.0,0.0,,Standard,No
68,44.0,Tommes Pack Seat Leon,6.0,6.0,1:14.837,103'4,7:02.022,10:09:16.607,187.0,176.0,4.0,,9788538.0,0.0,,R2,No
69,30.0,Team Gävlarna Clio ,6.0,6.0,1:10.710,109'5,7:02.598,10:09:17.183,150.0,160.0,4.0,,3289056.0,0.0,,R1,No
70,27.0,B.E.T BMW 330,6.0,6.0,1:10.102,110'4,7:03.041,10:09:17.626,122.0,154.0,4.0,,7493526.0,0.0,,R1,No
71,4.0,SMK Racing Renault Clio,6.0,6.0,1:09.168,111'9,7:03.385,10:09:17.970,165.0,172.0,4.0,,7622978.0,0.0,,R1,No
72,6.0,SPEeD S60 Racing Team S60 Challange,6.0,6.0,1:18.101,99'1,7:20.533,10:09:35.118,183.0,151.0,4.0,,4800537.0,0.0,,R2,No
73,99997.0,clio helvit N/N,6.0,6.0,1:18.063,99'2,7:21.073,10:09:35.658,259.0,163.0,4.0,,641641.0,0.0,,GT Open,No
74,3.0,Team Häsen Racing Sweden VW Polo,6.0,6.0,1:15.812,102'1,7:21.342,10:09:35.927,246.0,149.0,4.0,,9515691.0,0.0,,R1,No
75,86.0,clio 86,6.0,6.0,1:14.550,103'8,7:22.581,10:09:37.166,327.0,171.0,4.0,,7722174.0,0.0,,GT Open,No
76,2.0,Team Skeppsbrons BMW M3 E36,6.0,6.0,1:16.474,101'2,7:23.724,10:09:38.309,361.0,164.0,4.0,,4867808.0,0.0,,R1,No
77,71.0,Roslagen Racing BMW 323 Compact,6.0,6.0,1:15.234,102'9,7:52.878,10:10:07.463,99.0,150.0,4.0,,7637509.0,0.0,,Standard,No
